fromPos,toPos,9:06-299002_S31_L001,2:03-2525_S26_L001,8:06-2950_S32_L001
fromPos,toPos,9:06-299002_S31_L001,fromPos,toPos,2:03-2525_S26_L001,fromPos,toPos,8:06-2950_S32_L001
0,1000,5,5,2
1000,2000,4,2,3
2000,3000,1,3,4
3000,4000,5,5,6
4000,5000,0,1,5
5000,6000,10,3,10
6000,7000,5,8,6
7000,8000,2,0,5
8000,9000,8,9,12
9000,10000,4,5,8
10000,11000,4,4,4
11000,12000,2,5,4
12000,13000,0,2,3
13000,14000,2,3,0
14000,15000,1,4,3
15000,16000,3,5,7
16000,17000,6,5,8
17000,18000,0,0,0
18000,19000,0,0,0
19000,20000,0,0,0
20000,21000,0,0,0
21000,22000,0,0,0
22000,23000,0,0,0
23000,24000,0,0,0
24000,25000,0,0,0
25000,26000,0,0,0
26000,27000,0,0,0
27000,28000,0,0,0
28000,29000,0,0,0
29000,30000,0,0,0
30000,31000,0,0,0
31000,32000,0,0,0
32000,33000,0,0,0
33000,34000,5,5,14
34000,35000,4,1,16
35000,36000,4,18,9
36000,37000,7,26,14
37000,38000,11,12,8
38000,39000,5,8,8
39000,40000,8,3,2
40000,41000,3,3,4
41000,42000,12,23,13
42000,43000,22,21,12
43000,44000,35,33,31
44000,45000,10,4,4
45000,46000,10,6,7
46000,47000,18,18,15
47000,48000,1,1,1
48000,49000,4,5,6
49000,50000,4,7,6
50000,51000,5,2,7
51000,52000,2,2,6
52000,53000,13,2,12
53000,54000,13,23,13
54000,55000,4,6,4
55000,56000,5,7,6
56000,57000,6,6,9
57000,58000,7,4,6
58000,59000,4,4,3
59000,60000,3,5,4
60000,61000,0,1,4
61000,62000,3,1,1
62000,63000,0,1,1
63000,64000,3,4,4
64000,65000,1,0,0
65000,66000,3,4,3
66000,67000,0,0,0
67000,68000,3,3,4
68000,69000,1,3,1
69000,70000,2,2,3
70000,71000,1,1,0
71000,72000,1,1,1
72000,73000,1,1,1
73000,74000,4,10,9
74000,75000,0,0,0
75000,76000,0,0,0
76000,77000,0,0,0
77000,78000,0,0,0
78000,79000,0,0,1
79000,80000,4,3,3
80000,81000,11,6,10
81000,82000,10,12,6
82000,83000,3,6,2
83000,84000,3,6,5
84000,85000,11,5,5
85000,86000,3,3,3
86000,87000,12,11,11
87000,88000,3,4,4
88000,89000,1,2,1
89000,90000,10,17,16
90000,91000,4,4,3
91000,92000,0,0,0
92000,93000,0,0,0
93000,94000,0,0,0
94000,95000,0,0,0
95000,96000,0,0,0
96000,97000,0,0,0
97000,98000,0,0,0
98000,99000,0,0,0
99000,100000,0,0,0
100000,101000,0,0,0
101000,102000,0,0,0
102000,103000,0,0,0
103000,104000,0,0,0
104000,105000,0,0,0
105000,106000,0,0,0
106000,107000,3,2,5
107000,108000,9,16,17
108000,109000,11,16,9
109000,110000,2,2,2
110000,111000,0,0,0
111000,112000,0,0,0
112000,113000,0,0,0
113000,114000,0,0,0
114000,115000,0,0,0
115000,116000,0,0,0
116000,117000,0,0,0
117000,118000,0,0,0
118000,119000,0,0,0
119000,120000,0,0,0
120000,121000,0,0,0
121000,122000,0,0,0
122000,123000,0,0,0
123000,124000,0,0,0
124000,125000,0,0,0
125000,126000,19,17,15
126000,127000,10,6,3
127000,128000,12,9,5
128000,129000,4,6,3
129000,130000,2,3,4
130000,131000,4,2,6
131000,132000,6,8,2
132000,133000,4,3,1
133000,134000,12,9,5
134000,135000,6,5,5
135000,136000,4,3,4
136000,137000,3,1,3
137000,138000,5,5,7
138000,139000,5,6,6
139000,140000,8,4,5
140000,141000,3,4,7
141000,142000,4,6,7
142000,143000,4,6,10
143000,144000,9,9,19
144000,145000,6,6,5
145000,146000,2,3,2
146000,147000,3,7,8
147000,148000,9,6,8
148000,149000,10,12,16
149000,150000,9,13,8
150000,151000,12,8,10
151000,152000,7,4,8
152000,153000,18,8,11
153000,154000,0,0,0
154000,155000,10,2,3
155000,156000,12,9,11
156000,157000,11,13,8
157000,158000,25,18,21
158000,159000,29,21,21
159000,160000,4,10,8
160000,161000,16,20,9
161000,162000,7,4,8
162000,163000,14,11,6
163000,164000,0,11,5
164000,165000,3,26,26
165000,166000,4,5,5
166000,167000,1,1,2
167000,168000,7,10,8
168000,169000,1,7,6
169000,170000,14,15,13
170000,171000,6,14,8
171000,172000,20,13,15
172000,173000,13,12,11
173000,174000,8,4,4
174000,175000,8,9,4
175000,176000,1,1,0
176000,177000,0,0,0
177000,178000,0,0,0
178000,179000,3,7,3
179000,180000,3,6,4
180000,181000,11,8,12
181000,182000,3,5,4
182000,183000,10,4,16
183000,184000,5,6,4
184000,185000,8,8,6
185000,186000,8,11,8
186000,187000,6,3,3
187000,188000,15,13,7
188000,189000,3,3,7
189000,190000,2,4,1
190000,191000,5,7,9
191000,192000,11,16,9
192000,193000,9,9,11
193000,194000,5,1,4
194000,195000,6,6,2
195000,196000,3,9,7
196000,197000,1,5,6
197000,198000,2,1,2
198000,199000,1,1,2
199000,200000,1,4,3
200000,201000,1,10,10
201000,202000,10,11,14
202000,203000,10,14,14
203000,204000,9,12,10
204000,205000,2,4,4
205000,206000,5,8,8
206000,207000,1,3,2
207000,208000,5,18,6
208000,209000,5,3,3
209000,210000,5,2,2
210000,211000,2,2,2
211000,212000,2,1,2
212000,213000,0,7,6
213000,214000,0,1,1
