fromPos,toPos,AggregateDist,03-2454_S25_L001,03-2525_S26_L001,03-2592_S27_L001,06-283016_S28_L001,06-284001_S29_L001,06-286011_S30_L001,06-2909_S23_L001,06-2950_S32_L001,06-299002_S31_L001,06-310013_S24_L001,31315_S10_L001,31316_S11_L001,31642_S12_L001,A_S9_L001,B_S10_L001,C_S11_L001,D_S12_L001,E_S13_L001,F_S14_L001,G_S15_L001,H_S16_L001,I_S17_L001,J_S18_L001,K_S19_L001,L_S20_L001,M_S21_L001,N_S22_L001,TG77198_S1_L001,TG77202_S2_L001,TG77206_S3_L001,TG77210_S16_L001,TG77214_S5_L001,TG77218_S6_L001,TG77222_S7_L001,TG77226_S8_L001
0,5000,56,15,16,20,16,13,13,21,20,15,18,15,15,15,0,0,0,0,17,17,0,15,15,0,0,18,0,18,20,0,0,0,0,0,0,15
2500,7500,80,20,18,29,20,21,21,27,29,20,31,17,17,17,0,0,0,0,34,34,0,21,17,0,0,28,0,28,26,0,0,0,0,0,0,20
5000,10000,92,28,25,41,29,36,36,18,41,29,33,25,25,25,0,0,0,0,39,39,0,29,25,0,0,36,0,36,39,0,0,0,0,0,0,28
7500,12500,70,19,24,35,28,27,27,6,35,20,15,24,24,24,0,0,0,0,25,25,0,19,24,0,0,24,0,24,31,0,0,0,0,0,0,19
10000,15000,49,10,18,14,16,14,14,6,14,9,13,17,17,17,0,0,0,0,14,14,0,9,17,0,0,14,0,14,12,0,0,0,0,0,0,9
12500,17500,49,13,18,18,13,12,12,13,18,12,17,17,17,17,0,0,0,0,13,13,0,12,17,0,0,18,0,18,19,0,0,0,0,0,0,12
15000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17500,22500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22500,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25000,30000,27,9,10,15,8,7,7,11,15,9,10,10,10,10,0,0,0,0,7,7,0,9,10,0,0,11,0,11,14,0,0,0,0,0,0,9
27500,32500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,35000,55,9,6,30,18,19,19,10,30,9,26,6,6,6,0,0,0,0,28,28,0,9,7,0,0,26,0,26,8,0,0,0,0,0,0,9
32500,37500,152,25,58,60,59,60,60,55,60,25,41,57,57,57,0,0,0,0,56,56,0,25,58,0,0,79,0,79,50,0,0,0,0,0,0,25
35000,40000,178,35,67,41,55,54,54,63,41,35,29,66,66,66,0,0,0,0,79,79,0,35,66,0,0,69,0,69,54,0,0,0,0,0,0,35
37500,42500,161,48,54,36,44,30,30,48,36,48,40,54,54,54,0,0,0,0,74,74,0,48,55,0,0,40,0,40,36,0,0,0,0,0,0,48
40000,45000,173,82,84,64,52,50,50,44,64,82,65,84,84,84,0,0,0,0,43,43,0,82,85,0,0,46,0,46,83,0,0,0,0,0,0,82
42500,47500,143,82,70,62,45,61,61,53,62,82,67,70,70,70,0,0,0,0,42,42,0,82,70,0,0,42,0,42,84,0,0,0,0,0,0,82
45000,50000,72,37,37,35,35,37,37,46,35,37,40,38,38,38,0,0,0,0,33,33,0,37,38,0,0,34,0,34,33,0,0,0,0,0,0,37
47500,52500,56,19,17,30,29,20,20,25,30,19,24,17,17,17,0,0,0,0,21,21,0,19,17,0,0,27,0,27,27,0,0,0,0,0,0,19
50000,55000,104,38,35,42,44,40,40,42,42,37,49,33,33,33,0,0,0,0,40,40,0,37,33,0,0,30,0,30,45,0,0,0,0,0,0,37
52500,57500,114,40,45,42,36,43,43,37,42,39,52,44,44,44,0,0,0,0,44,44,0,39,44,0,0,32,0,32,36,0,0,0,0,0,0,39
55000,60000,76,25,26,28,20,24,24,24,28,25,28,26,26,26,0,0,0,0,29,29,0,25,26,0,0,28,0,28,21,0,0,0,0,0,0,25
57500,62500,46,15,13,16,14,12,12,16,16,15,17,13,13,13,0,0,0,0,18,18,0,15,13,0,0,22,0,22,17,0,0,0,0,0,0,15
60000,65000,28,7,7,10,9,8,9,9,10,7,10,8,8,8,0,0,0,0,5,5,0,7,8,0,0,14,0,14,10,0,0,0,0,0,0,7
62500,67500,25,8,10,9,9,8,9,7,9,8,11,11,11,11,0,0,0,0,4,4,0,8,11,0,0,11,0,11,9,0,0,0,0,0,0,8
65000,70000,27,8,12,11,8,8,8,8,11,9,8,13,13,13,0,0,0,0,7,7,0,8,13,0,0,9,0,9,11,0,0,0,0,0,0,8
67500,72500,27,7,10,8,7,6,6,7,8,8,3,10,10,10,0,0,0,0,10,10,0,7,10,0,0,4,0,4,8,0,0,0,0,0,0,7
70000,75000,28,7,13,12,11,9,9,6,11,7,5,12,12,12,0,0,0,0,16,16,0,7,12,0,0,10,0,10,13,0,0,0,0,0,0,7
72500,77500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75000,80000,25,8,13,14,13,13,13,7,13,8,7,13,13,13,0,0,0,0,14,14,0,8,13,0,0,14,0,14,15,0,0,0,0,0,0,8
77500,82500,58,27,26,20,25,25,25,32,20,26,15,26,26,26,0,0,0,0,20,20,0,26,26,0,0,29,0,29,19,0,0,0,0,0,0,26
80000,85000,94,39,35,28,26,31,31,39,28,38,28,35,35,35,0,0,0,0,26,26,0,38,35,0,0,36,0,36,25,0,0,0,0,0,0,38
82500,87500,83,32,28,28,16,27,27,20,28,32,26,22,22,22,0,0,0,0,23,23,0,32,22,0,0,21,0,21,23,0,0,0,0,0,0,32
85000,90000,96,29,37,35,28,40,40,15,35,29,14,44,44,44,0,0,0,0,57,57,0,29,44,0,0,14,0,14,41,0,0,0,0,0,0,29
87500,92500,74,17,25,22,24,28,28,8,22,17,6,38,38,38,0,0,0,0,49,49,0,17,38,0,0,18,0,18,32,0,0,0,0,0,0,17
90000,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92500,97500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97500,102500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000,105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102500,107500,46,11,13,14,12,13,13,12,14,11,11,14,14,14,0,0,0,0,17,17,0,11,14,0,0,18,0,18,10,0,0,0,0,0,0,11
105000,110000,99,25,36,33,27,33,33,29,33,25,33,32,32,32,0,0,0,0,39,39,0,25,32,0,0,27,0,27,32,0,0,0,0,0,0,25
107500,112500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000,115000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112500,117500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115000,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117500,122500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120000,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122500,127500,150,55,56,44,48,47,47,46,44,55,45,47,47,47,0,0,0,0,57,57,0,55,47,0,0,47,0,47,45,0,0,0,0,0,0,55
125000,130000,110,46,41,30,39,31,31,40,30,47,32,32,32,32,1,1,1,1,42,42,1,47,32,1,1,31,1,31,26,1,1,1,1,1,1,46
127500,132500,69,22,25,17,23,19,19,25,17,23,23,17,17,17,1,1,1,1,24,24,1,23,17,1,1,17,1,17,17,1,1,1,1,1,1,22
130000,135000,86,32,27,19,25,30,30,32,19,32,25,23,23,23,0,0,0,0,23,23,0,32,23,0,0,24,0,24,20,0,0,0,0,0,0,32
132500,137500,71,29,21,21,27,28,28,32,21,29,21,22,22,22,0,0,0,0,24,24,0,29,22,0,0,20,0,20,23,0,0,0,0,0,0,29
135000,140000,64,25,19,25,29,22,22,24,25,25,24,21,21,21,0,0,0,0,24,24,0,25,21,0,0,27,0,27,29,0,0,0,0,0,0,25
137500,142500,71,24,26,32,34,28,28,29,32,24,32,25,25,25,0,0,0,0,25,25,0,24,25,0,0,33,0,33,30,0,0,0,0,0,0,24
140000,145000,96,26,31,49,51,30,30,38,49,26,30,32,32,32,0,0,0,0,37,37,0,26,32,0,0,38,0,38,33,0,0,0,0,0,0,26
142500,147500,104,29,32,44,45,30,30,35,44,29,32,44,44,44,0,0,0,0,41,41,0,29,44,0,0,42,0,42,31,0,0,0,0,0,0,29
145000,150000,155,33,41,42,36,92,92,33,42,33,25,46,46,46,0,0,0,0,36,36,0,34,46,0,0,43,0,43,22,0,0,0,0,0,0,33
147500,152500,182,47,41,49,41,119,119,35,49,47,23,48,48,48,0,0,0,0,45,45,0,48,48,0,0,47,0,47,28,0,0,0,0,0,0,47
