fromPos,toPos,03-2454_S25_L001,03-2525_S26_L001,03-2592_S27_L001,06-283016_S28_L001,06-284001_S29_L001,TG77214_S5_L001,TG77218_S6_L001,TG77222_S7_L001,TG77226_S8_L001
fromPos,toPos,1:03-2454_S25_L001,fromPos,toPos,2:03-2525_S26_L001,fromPos,toPos,3:03-2592_S27_L001,fromPos,toPos,4:06-283016_S28_L001,fromPos,toPos,5:06-284001_S29_L001,fromPos,toPos,32:TG77214_S5_L001,fromPos,toPos,33:TG77218_S6_L001,fromPos,toPos,34:TG77222_S7_L001,fromPos,toPos,35:TG77226_S8_L001
0,1000,5,5,2,4,6,0,0,0,5
500,1500,1,1,0,1,2,0,0,0,1
1000,2000,4,2,3,2,2,0,0,0,4
1500,2500,5,4,6,3,4,0,0,0,5
2000,3000,1,3,4,2,2,0,0,0,1
2500,3500,3,4,3,2,3,0,0,0,3
3000,4000,5,5,6,5,3,0,0,0,5
3500,4500,2,2,8,7,1,0,0,0,2
4000,5000,0,1,5,3,0,0,0,0,0
4500,5500,4,4,6,3,3,0,0,0,4
5000,6000,10,3,10,4,9,0,0,0,10
5500,6500,7,2,7,3,8,0,0,0,7
6000,7000,5,8,6,7,7,0,0,0,5
6500,7500,4,6,5,5,6,0,0,0,4
7000,8000,2,0,5,2,3,0,0,0,2
7500,8500,10,9,14,13,13,0,0,0,10
8000,9000,8,9,13,11,11,0,0,0,8
8500,9500,3,2,6,2,2,0,0,0,3
9000,10000,3,5,8,5,6,0,0,0,3
9500,10500,3,5,7,5,6,0,0,0,3
10000,11000,4,4,4,3,3,0,0,0,4
10500,11500,2,4,2,2,2,0,0,0,2
11000,12000,2,5,4,5,4,0,0,0,2
11500,12500,1,4,6,6,4,0,0,0,1
12000,13000,0,2,3,2,1,0,0,0,0
12500,13500,1,2,0,0,2,0,0,0,1
13000,14000,2,3,0,1,3,0,0,0,2
13500,14500,1,3,1,2,2,0,0,0,1
14000,15000,2,4,3,5,3,0,0,0,1
14500,15500,2,4,4,4,2,0,0,0,1
15000,16000,3,5,7,2,1,0,0,0,3
15500,16500,3,5,5,3,2,0,0,0,3
16000,17000,6,5,8,5,5,0,0,0,6
16500,17500,6,4,8,4,4,0,0,0,6
17000,18000,6,4,8,4,4,0,0,0,6
17500,18500,6,4,8,4,4,0,0,0,6
18000,19000,6,4,8,4,4,0,0,0,6
18500,19500,6,4,8,4,4,0,0,0,6
19000,20000,6,4,8,4,4,0,0,0,6
19500,20500,6,4,8,4,4,0,0,0,6
20000,21000,6,4,8,4,4,0,0,0,6
20500,21500,6,4,8,4,4,0,0,0,6
21000,22000,6,4,8,4,4,0,0,0,6
21500,22500,6,4,8,4,4,0,0,0,6
22000,23000,6,4,8,4,4,0,0,0,6
22500,23500,6,4,8,4,4,0,0,0,6
23000,24000,6,4,8,4,4,0,0,0,6
23500,24500,6,4,8,4,4,0,0,0,6
24000,25000,6,4,8,4,4,0,0,0,6
24500,25500,6,4,8,4,4,0,0,0,6
25000,26000,6,4,8,4,4,0,0,0,6
25500,26500,6,4,8,4,4,0,0,0,6
26000,27000,6,4,8,4,4,0,0,0,6
26500,27500,6,4,8,4,4,0,0,0,6
27000,28000,6,4,8,5,5,0,0,0,6
27500,28500,0,0,0,1,1,0,0,0,0
28000,29000,0,0,0,1,1,0,0,0,0
28500,29500,0,0,0,1,1,0,0,0,0
29000,30000,0,0,0,1,1,0,0,0,0
29500,30500,0,0,0,1,1,0,0,0,0
30000,31000,0,0,0,1,1,0,0,0,0
30500,31500,0,0,0,1,1,0,0,0,0
31000,32000,0,0,0,1,1,0,0,0,0
31500,32500,0,0,0,1,1,0,0,0,0
32000,33000,0,0,0,1,1,0,0,0,0
